tipo_movimiento,bodega,documento,fecha_documento,pedido,estado_pedido,tipo_despacho,sku,canal,fecha_venta,hora_venta,producto,categoria_macro,categoria_padre,categoria_hijo,categoria_comercial,estado_sku,pack,marca,proveedor,tipo_marca,tipo_compra,tipo_negocio,kam,estado_canal,anio_venta,mes_venta,semana_venta,dia_semana,hora_venta_num,cantidad,venta_bruta,venta_neta,costo_unitario,costo_total,margen_front,comision_pct,comision,logistica,marketing,margen_final
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Libros Patagonia (primera compra) - Sodimac,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,160,3356197,2820334,14700.0,2352000,468334,0,0,0,0,468334
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Libros Patagonia (segunda compra) - Sodimac,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,38,797097,669829,14700.0,558600,111229,0,0,0,0,111229
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Puzzles Colori Diferentes Diseño 1000 Piezas 70x50cm (primera compra),,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,160,1369876,1151157,6000.0,960000,191157,0,0,0,0,191157
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Puzzles Colori Diferentes Diseño 1000 Piezas 70x50cm (segunda compra),,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,30,256852,215842,6000.0,180000,35842,0,0,0,0,35842
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac 1ero a 4to Medio,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,160,1358878,1141914,5951.83,952292,189622,0,0,0,0,189622
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac Tecnico Profecional,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,130,1104088,927805,5951.83,773737,154068,0,0,0,0,154068
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac Educacion Superior,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,77,653960,549546,5951.83,458291,91255,0,0,0,0,91255
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac 1ero a 4to Basico,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,160,1787362,1501985,7828.57,1252571,249414,0,0,0,0,249414
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac 5to a 8vo Basico,,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,160,1787362,1501985,7828.57,1252571,249414,0,0,0,0,249414
Venta,,FAC 097825,2026-05-15,,sale,,,UnionX B2B,2026-05-15,12:00:00,Cajas Sodimac 5to a 8vo Basico Rojas (adicionales por error de color),,,,,,,,,,,Distribución,Martin,,2026,5,20,Friday,12,45,398120,334555,6200.0,279000,55555,0,0,0,0,55555
Venta,,FAC 097825,2026-05-15,,sale,,LHRMPLU-WH,UnionX B2B,2026-05-15,12:00:00,Audifonos Bluetooth TWS Pantalla Touch ANC RMPLUS+ Lhotse (Blanco),,,,,,,Lhotse,,,,Distribución,Martin,,2026,5,20,Friday,12,162,1422274,1195188,6152.59,996720,198468,0,0,0,0,198468
Venta,,FAC 097825,2026-05-15,,sale,,1566849947902,UnionX B2B,2026-05-15,12:00:00,Mochila Antirrobo Lhotse Gris Oscuro MA147,,,,,,,Lhotse,,,,Distribución,Martin,,2026,5,20,Friday,12,130,1933045,1624408,10420.5,1354665,269743,0,0,0,0,269743
Venta,,FAC 097825,2026-05-15,,sale,,1623703861303,UnionX B2B,2026-05-15,12:00:00,Bolso Deportivo Lhotse Duffel 30 Lts Bag Negro,,,,,,,Lhotse,,,,Distribución,Martin,,2026,5,20,Friday,12,77,1066088,895872,9702.69,747107,148765,0,0,0,0,148765
