canal,sku,sku_hites,com_pct,nombre,fuente
Hites,67933856404072,10648000073,18.0,Set 6 Vasos Corto Vintage Charlotte 200ml Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LVMPADXXL-BK,10648000108,10.0,Mousepad Battlemat XXL 90x40 cm Antideslizante Negro LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,67933857637909,10648000069,18.0,Set 6 Vasos Largo Vintage Charlotte 350ml Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1629726117626,10648000113,18.0,Set 12 Utensilios De Cocina Silicona Negro Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1629726091782,10648000112,18.0,Set 12 Utensilios De Cocina Silicona Calipso Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,68540048936286,10648000085,18.0,Secaplatos Escurridor 1 Nivel Acero Inox Negro Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,67327712330533,10648000083,18.0,Set de 7 Contenedores Herméticos Plástico Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,LHHEDWEPR,10648000087,12.0,Audifonos Bluetooth Inalambricos Over Ear WavePro,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1627418212924,10648000082,18.0,Set de 7 Contenedores Herméticos Plástico Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,SIMCUPGL-30,10648000070,18.0,Set de Cuchillería 30 pcs Cubiertos Acero Inoxidable Puglia,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1652825027456,10648000104,15.0,Aspiradora Inalámbrica Portátil Xpira Negra LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,1660858341796,10648000109,18.0,Secaplatos Escurridor 2 Niveles Acero Inox Negro Simplit,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,66436804863605,10648000050,15.0,Control Joystick Inalámbrico doble Shock P4 Rojo LEVO,Matriz Hites ago-26 (Claudia vía Nicole 24-09) · SKU corregido (Excel lo redondeó)
Hites,DYNTALSCA,10648000100,13.0,Kit Taladro Destornillador Inalámbrico Dynamo 21V 2 baterías,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
Hites,SIMCUROM-30,10648000074,18.0,Set de Cuchillería 30 pcs Cubiertos Acero Inoxidable Sicilia,Matriz Hites ago-26 (Claudia vía Nicole 24-09)
