canal,com_pct,log_pct,mkt_pct,modo_com,modo_log,com_pct_evento,meses_evento,fuente,nota
UnionX web,,,10.0,forzar,forzar,,,Andrés 24-09,Marketing 10% de la venta neta. Comisión 3% y envío tarifario BlueX vienen del extract.
Lhotse web,,,10.0,forzar,forzar,,,Andrés 24-09,Marketing 10% de la venta neta. Comisión 3% y envío tarifario BlueX vienen del extract.
Simplit web,,,10.0,forzar,forzar,,,Andrés 24-09,Marketing 10% de la venta neta. Comisión 3% y envío tarifario BlueX vienen del extract.
LATAM Pass,,,,forzar,forzar,,,Andrés 24-09 · histórico contable jul-26,Solo julio tiene venta contable: base débil. Comisión 15% viene del extract. Logística = tarifario del extract (Recíbelo RM / BlueX regiones).
Celmedia,0.0,,,forzar,forzar,,,Andrés 24-09 · histórico contable ene-jul-26,Sin comisión. 1%. Logística = tarifario del extract (BlueX).
Banco Bice,0.0,,,forzar,forzar,,,Andrés 24-09 · histórico contable ene-jul-26,Sin comisión. 8%. Logística = tarifario del extract (BlueX).
CMR,15.0,13.7,,si_vacio,si_vacio,,,Andrés 24-09 · histórico contable ene-jul-26,Comisión 15% solo si la fila no trae la real del Drive CMR. Logística: tarifario Recíbelo del pedido web; 13.7% histórico solo si la fila viene sin logística (rebuild del Drive).
Gran Venta Garage,20.0,0.0,,forzar,forzar,,,Andrés 24-09,Comisión 20%.
Travel Duty,30.0,,,forzar,forzar,,,Nicole 24-09 (OK Andrés),Provisión = comisión + aportes comerciales; aportes en torno al 30%. Tasa sugerida a robustecer con los KAM.
Abc,14.0,4.1,,forzar,forzar,28.0,2026-10,Nicole 24-09 (OK Andrés),"Provisión = comisión + aportes; 14% en mes normal y el doble en mes de evento (Cyber). Logística 4,1% = tasa histórica contable ene-jul-26."
Hites,15.9,7.8,,sku,forzar,,,Matriz Hites ago-26 (Claudia vía Nicole),"Comisión por SKU (comision_sku_canal.csv). Respaldo 15.9% = ponderado por venta de la matriz para SKU no listados. Logística 7,8% = tasa histórica contable ene-jul-26."
