comuna_norm,zona,tarifa,fuente
BUIN,RURAL,3110.0,detalle factura ago-26
CERRILLOS,CENTRO,2763.0,detalle factura ago-26
CERRO NAVIA,CENTRO,2763.0,detalle factura ago-26
COLINA,COLINA,3952.0,detalle factura ago-26
CONCHALI,CENTRO,2763.0,detalle factura ago-26
EL BOSQUE,CENTRO,2763.0,detalle factura ago-26
EL MONTE,RURAL,3110.0,detalle factura ago-26
ESTACION CENTRAL,CENTRO,2763.0,detalle factura ago-26
HUECHURABA,CENTRO,2763.0,detalle factura ago-26
INDEPENDENCIA,CENTRO,2763.0,detalle factura ago-26
ISLA DE MAIPO,RURAL,3110.0,detalle factura ago-26
LA CISTERNA,CENTRO,2763.0,detalle factura ago-26
LA FLORIDA,CENTRO,2763.0,detalle factura ago-26
LA GRANJA,CENTRO,2763.0,detalle factura ago-26
LA PINTANA,CENTRO,2763.0,detalle factura ago-26
LA REINA,CENTRO,2763.0,detalle factura ago-26
LAMPA,RURAL,3110.0,detalle factura ago-26
LAS CONDES,CENTRO,2763.0,detalle factura ago-26
LO BARNECHEA,CENTRO,2763.0,detalle factura ago-26
LO ESPEJO,CENTRO,2763.0,detalle factura ago-26
LO PRADO,CENTRO,2763.0,detalle factura ago-26
MACUL,CENTRO,2763.0,detalle factura ago-26
MAIPU,CENTRO,2763.0,detalle factura ago-26
MELIPILLA,RURAL,3110.0,detalle factura ago-26
NUNOA,CENTRO,2763.0,detalle factura ago-26
PADRE HURTADO,CENTRO,2763.0,detalle factura ago-26
PAINE,RURAL,3110.0,detalle factura ago-26
PEDRO AGUIRRE CERDA,CENTRO,2763.0,detalle factura ago-26
PENAFLOR,RURAL,3110.0,detalle factura ago-26
PENALOLEN,CENTRO,2763.0,detalle factura ago-26
PROVIDENCIA,CENTRO,2763.0,detalle factura ago-26
PUDAHUEL,CENTRO,2763.0,detalle factura ago-26
PUENTE ALTO,CENTRO,2763.0,detalle factura ago-26
QUILICURA,CENTRO,2763.0,detalle factura ago-26
QUINTA NORMAL,CENTRO,2763.0,detalle factura ago-26
RECOLETA,CENTRO,2763.0,detalle factura ago-26
RENCA,CENTRO,2763.0,detalle factura ago-26
SAN BERNARDO,CENTRO,2763.0,detalle factura ago-26
SAN JOAQUIN,CENTRO,2763.0,detalle factura ago-26
SAN MIGUEL,CENTRO,2763.0,detalle factura ago-26
SAN RAMON,CENTRO,2763.0,detalle factura ago-26
SANTIAGO CENTRO,CENTRO,2763.0,detalle factura ago-26
TALAGANTE,RURAL,3110.0,detalle factura ago-26
VITACURA,CENTRO,2763.0,detalle factura ago-26
SANTIAGO,CENTRO,2763.0,alias de SANTIAGO CENTRO
ALHUE,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
CALERA DE TANGO,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
CURACAVI,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
MARIA PINTO,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
PIRQUE,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
SAN JOSE DE MAIPO,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
SAN PEDRO,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
TILTIL,RURAL,3110.0,supuesto (sin envíos en ago): RURAL
