tipo_movimiento,bodega,documento,fecha_documento,pedido,estado_pedido,tipo_despacho,sku,canal,fecha_venta,hora_venta,producto,categoria_macro,categoria_padre,categoria_hijo,categoria_comercial,estado_sku,pack,marca,proveedor,tipo_marca,tipo_compra,tipo_negocio,kam,estado_canal,anio_venta,mes_venta,semana_venta,dia_semana,hora_venta_num,cantidad,venta_bruta,venta_neta,costo_unitario,costo_total,margen_front,comision_pct,comision,logistica,marketing,margen_final
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225104,sale,,LVSPTVUN,Walmart,2026-04-30,04:00:00,"Soporte de Tv Ajustable 32 a 72"" LEVO",Tecno,Soportes,Soportes de Television,Plata,in,No,Levo,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,6990.0,5874.0,2955.0,2955.0,2919.0,0,0,0,0,2919.0
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225103,sale,,TCMULTSTY5N1,Walmart,2026-04-30,04:00:00,Secador de pelo Multistyler T-Care 5 en 1,Beauty,Cuidado Personal,Secadores,Diamante,in,No,T-Care,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,64990.0,54613.0,21679.51,21679.51,32933.49,0,0,0,0,32933.49
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225102,sale,,TCMULTSTY5N1,Walmart,2026-04-30,04:00:00,Secador de pelo Multistyler T-Care 5 en 1,Beauty,Cuidado Personal,Secadores,Diamante,in,No,T-Care,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,64990.0,54613.0,21679.51,21679.51,32933.49,0,0,0,0,32933.49
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225101,sale,,SIMJULZSIE-30,Walmart,2026-04-30,04:00:00,Juego Loza Cerámica 30 pcs Siena 6 personas Simplit,Home,Vajilla,Juego de Loza,Diamante,in,No,Simplit,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,2.0,211960.0,178118.0,17432.72,34865.44,143252.56,0,0,0,0,143252.56
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225100,sale,,DYNTALCPER,Walmart,2026-04-30,04:00:00,Taladro Percutor Inalámbrico Dynamo 21v 2 Baterías + Accs,Tools,Herramientas Eléctricas,Taladro y Atornilladores,Plata,in,No,Dynamo TL,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,29990.0,25202.0,10317.86,10317.86,14884.14,0,0,0,0,14884.14
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225099,sale,,TCMULTSTY5N1,Walmart,2026-04-30,04:00:00,Secador de pelo Multistyler T-Care 5 en 1,Beauty,Cuidado Personal,Secadores,Diamante,in,No,T-Care,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,64990.0,54613.0,21679.51,21679.51,32933.49,0,0,0,0,32933.49
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225098,sale,,LVCAMSEGEX-BK,Walmart,2026-04-30,04:00:00,Cámara de Seguridad Impermeable Wifi 5G 2MP GuardPro X5 LEVO,Tecno,Smart Home,Cámaras de seguridad,Oro,in,No,Levo,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,16990.0,14277.0,7602.0,7602.0,6675.0,0,0,0,0,6675.0
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225097,sale,,LHCAMACXPL,Walmart,2026-04-30,04:00:00,Cámara de acción doble pantalla 4k 30ftps Xplore Lhotse,Tecno,Video,Cámaras de acción,Diamante,in,No,Lhotse,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,59990.0,50412.0,19758.52,19758.52,30653.48,0,0,0,0,30653.48
Venta,Bodega Fulfillment Walmart,,2026-04-30,S225096,sale,,DYNTALSPER,Walmart,2026-04-30,04:00:00,Kit Taladro Destornillador Inalámbrico Dynamo 21v 2 Baterías,Tools,Herramientas Eléctricas,Taladro y Atornilladores,Diamante,in,No,Dynamo TL,UnionX,In,,Marketplace,Trini,,2026,4,18,Thursday,4,1.0,29990.0,25202.0,9874.8,9874.8,15327.2,0,0,0,0,15327.2
Venta,Bodega Fulfillment Walmart,,2026-04-29,S225150,sale,,LVSPTVUN,Walmart,2026-04-29,04:00:00,"Soporte de Tv Ajustable 32 a 72"" LEVO",Tecno,Soportes,Soportes de Television,Plata,in,No,Levo,UnionX,In,,Marketplace,Trini,,2026,4,18,Wednesday,4,1.0,6990.0,5874.0,2955.0,2955.0,2919.0,0,0,0,0,2919.0
